"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 24 02:55:29 GMT 2022","Thu Nov 24 02:55:34 GMT 2022","5489","","NavBar","","","","Validar Mensagem erro quando busco produto invalido",""
"failed","Thu Nov 24 02:54:48 GMT 2022","Thu Nov 24 02:54:53 GMT 2022","5188","","Login","","","","Validar mensagem de error ao tentar criar conta confirmando senha diferente da senha inserida",""
"passed","Thu Nov 24 02:55:22 GMT 2022","Thu Nov 24 02:55:29 GMT 2022","6892","","NavBar","","","","Validar Buscar item Existente",""
"failed","Thu Nov 24 02:54:13 GMT 2022","Thu Nov 24 02:54:26 GMT 2022","13150","","Login","","","","Validar Fazer login com dados valido",""
"passed","Thu Nov 24 02:55:18 GMT 2022","Thu Nov 24 02:55:22 GMT 2022","4044","","NavBar","","","","Validar Erro ao cadastrar apenas o campo direito do cep",""
"passed","Thu Nov 24 02:55:10 GMT 2022","Thu Nov 24 02:55:13 GMT 2022","3364","","NavBar","","","","Validar erro ao confimar cep com campos vazios",""
"passed","Thu Nov 24 02:54:41 GMT 2022","Thu Nov 24 02:54:48 GMT 2022","6447","","Login","","","","Validar mensagem de erro ao tentar criar conta com senha menor que 6 caracteres",""
"passed","Thu Nov 24 02:55:50 GMT 2022","Thu Nov 24 02:56:13 GMT 2022","22691","","NavBar","","","","Validar adicionar produtos ao carrinho",""
"passed","Thu Nov 24 02:55:05 GMT 2022","Thu Nov 24 02:55:10 GMT 2022","4808","","NavBar","","","","Validar Erro ao cadastrar cep invalido",""
"passed","Thu Nov 24 02:54:26 GMT 2022","Thu Nov 24 02:54:41 GMT 2022","14823","","Login","","","","Validar mensagem de erro ao tentar criar conta com email ja cadastrado",""
"passed","Thu Nov 24 02:55:13 GMT 2022","Thu Nov 24 02:55:18 GMT 2022","4445","","NavBar","","","","Validar Erro ao cadastrar apenas o campo esquedo do cep",""
"passed","Thu Nov 24 02:54:07 GMT 2022","Thu Nov 24 02:54:13 GMT 2022","5701","","Login","","","","Validar Mensagem Error ao Fazer login com Email Invalido",""
"failed","Thu Nov 24 02:55:34 GMT 2022","Thu Nov 24 02:55:50 GMT 2022","15816","","NavBar","","","","Validar Busca usando filtros",""
"passed","Thu Nov 24 02:54:57 GMT 2022","Thu Nov 24 02:55:05 GMT 2022","8229","","NavBar","","","","Validar cadastrar cep valido",""
"passed","Thu Nov 24 02:56:33 GMT 2022","Thu Nov 24 02:56:53 GMT 2022","19988","","NavBar","","","","Validar redirecionamento para pagina de login ao finalizar pedido sem estar logado",""
"passed","Thu Nov 24 02:56:13 GMT 2022","Thu Nov 24 02:56:33 GMT 2022","20302","","NavBar","","","","Validar aumentar a quantidade desejada do produto adicionado ao carrinho",""
