"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 24 11:16:18 GMT 2022","Thu Nov 24 11:16:23 GMT 2022","4938","","NavBar","","","","Validar Busca usando filtros",""
"passed","Thu Nov 24 11:15:18 GMT 2022","Thu Nov 24 11:15:24 GMT 2022","6351","","Login","","","","Validar mensagem de erro ao tentar criar conta com email ja cadastrado",""
"passed","Thu Nov 24 11:16:03 GMT 2022","Thu Nov 24 11:16:11 GMT 2022","7983","","NavBar","","","","Validar Buscar item Existente",""
"passed","Thu Nov 24 11:15:54 GMT 2022","Thu Nov 24 11:15:58 GMT 2022","4125","","NavBar","","","","Validar Erro ao cadastrar apenas o campo esquedo do cep",""
"failed","Thu Nov 24 11:15:40 GMT 2022","Thu Nov 24 11:15:45 GMT 2022","5004","","NavBar","","","","Validar cadastrar cep valido",""
"passed","Thu Nov 24 11:15:30 GMT 2022","Thu Nov 24 11:15:36 GMT 2022","5987","","Login","","","","Validar mensagem de error ao tentar criar conta confirmando senha diferente da senha inserida",""
"passed","Thu Nov 24 11:14:58 GMT 2022","Thu Nov 24 11:15:05 GMT 2022","7393","","Login","","","","Validar Mensagem Error ao Fazer login com Email Invalido",""
"passed","Thu Nov 24 11:15:24 GMT 2022","Thu Nov 24 11:15:30 GMT 2022","6147","","Login","","","","Validar mensagem de erro ao tentar criar conta com senha menor que 6 caracteres",""
"failed","Thu Nov 24 11:16:39 GMT 2022","Thu Nov 24 11:16:44 GMT 2022","5421","","NavBar","","","","Validar aumentar a quantidade desejada do produto adicionado ao carrinho",""
"passed","Thu Nov 24 11:15:50 GMT 2022","Thu Nov 24 11:15:54 GMT 2022","3500","","NavBar","","","","Validar erro ao confimar cep com campos vazios",""
"passed","Thu Nov 24 11:16:44 GMT 2022","Thu Nov 24 11:17:01 GMT 2022","16903","","NavBar","","","","Validar redirecionamento para pagina de login ao finalizar pedido sem estar logado",""
"passed","Thu Nov 24 11:16:23 GMT 2022","Thu Nov 24 11:16:39 GMT 2022","15929","","NavBar","","","","Validar adicionar produtos ao carrinho",""
"passed","Thu Nov 24 11:15:45 GMT 2022","Thu Nov 24 11:15:50 GMT 2022","5434","","NavBar","","","","Validar Erro ao cadastrar cep invalido",""
"failed","Thu Nov 24 11:14:51 GMT 2022","Thu Nov 24 11:14:58 GMT 2022","6880","","Login","","","","Validar Fazer login com dados valido",""
"passed","Thu Nov 24 11:16:11 GMT 2022","Thu Nov 24 11:16:18 GMT 2022","6571","","NavBar","","","","Validar Mensagem erro quando busco produto invalido",""
"failed","Thu Nov 24 11:15:05 GMT 2022","Thu Nov 24 11:15:18 GMT 2022","12224","","Login","","","","Validar Fazer login com senha incorreta",""
"passed","Thu Nov 24 11:15:58 GMT 2022","Thu Nov 24 11:16:03 GMT 2022","5040","","NavBar","","","","Validar Erro ao cadastrar apenas o campo direito do cep",""
