"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Filtro","Dados válidos","1","0","0","0","0"
"","Login","Dados inválidos","1","0","4","0","0"
"","Busca","Dados válidos","0","0","1","0","0"
"","Localizacao","Dados inválidos","0","0","4","0","0"
"","Localizacao","Dados válidos","1","0","0","0","0"
"","Carrinho","Dados válidos","1","0","2","0","0"
"","Login","Dados válidos","1","0","0","0","0"
"","Busca","Dados inválidos","0","0","1","0","0"
