"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Localizacao","Dados inválidos","2","0","2","0","0"
"","Login","Dados inválidos","2","0","3","0","0"
"","Login","Dados válidos","0","0","1","0","0"
"","Carrinho","Dados válidos","0","0","3","0","0"
"","Localizacao","Dados válidos","1","0","0","0","0"
"","Busca","Dados inválidos","0","0","1","0","0"
"","Busca","Dados válidos","1","0","1","0","0"
