"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 24 01:57:50 GMT 2022","Thu Nov 24 01:57:51 GMT 2022","380","","Login","","","","Validar Fazer login com dados valido",""
"broken","Thu Nov 24 02:14:56 GMT 2022","Thu Nov 24 02:14:56 GMT 2022","0","","steps/LoginStep.js","","","","Oops...we found an error preparing this test file: steps/LoginStep.js",""
"failed","Thu Nov 24 02:07:09 GMT 2022","Thu Nov 24 02:07:25 GMT 2022","15715","","Login","","","","Validar Fazer login com dados valido",""
"passed","Thu Nov 24 02:07:32 GMT 2022","Thu Nov 24 02:07:38 GMT 2022","5878","","Login","","","","Validar mensagem de erro ao tentar criar conta com senha menor que 6 caracteres",""
"broken","Thu Nov 24 01:52:22 GMT 2022","Thu Nov 24 01:52:22 GMT 2022","0","","steps/NavbarSteps.js","","","","Oops...we found an error preparing this test file: steps/NavbarSteps.js",""
"broken","Thu Nov 24 01:52:21 GMT 2022","Thu Nov 24 01:52:21 GMT 2022","0","","steps/LoginStep.js","","","","Oops...we found an error preparing this test file: steps/LoginStep.js",""
"passed","Thu Nov 24 02:07:25 GMT 2022","Thu Nov 24 02:07:32 GMT 2022","6435","","Login","","","","Validar mensagem de erro ao tentar criar conta com email ja cadastrado",""
"failed","Thu Nov 24 01:49:48 GMT 2022","Thu Nov 24 01:49:53 GMT 2022","4786","","Login","","","","Validar login com dados inválidos",""
"failed","Thu Nov 24 01:49:46 GMT 2022","Thu Nov 24 01:49:48 GMT 2022","2203","","Login","","","","Validar login com sucesso",""
"passed","Thu Nov 24 01:48:31 GMT 2022","Thu Nov 24 01:48:41 GMT 2022","9924","","NavBar","","","","Validar cadastrar cep valido",""
"failed","Thu Nov 24 01:53:38 GMT 2022","Thu Nov 24 01:53:39 GMT 2022","288","","NavBar","","","","Validar cadastrar cep valido",""
"failed","Thu Nov 24 01:57:52 GMT 2022","Thu Nov 24 01:57:52 GMT 2022","301","","NavBar","","","","Validar cadastrar cep valido",""
"passed","Thu Nov 24 02:07:03 GMT 2022","Thu Nov 24 02:07:09 GMT 2022","6699","","Login","","","","Validar Mensagem Error ao Fazer login com Email Invalido",""
"broken","Thu Nov 24 02:14:57 GMT 2022","Thu Nov 24 02:14:57 GMT 2022","0","","steps/NavbarSteps.js","","","","Oops...we found an error preparing this test file: steps/NavbarSteps.js",""
"passed","Thu Nov 24 01:48:41 GMT 2022","Thu Nov 24 01:48:46 GMT 2022","4203","","NavBar","","","","Validar Erro ao cadastrar cep invalido",""
"failed","Thu Nov 24 02:07:38 GMT 2022","Thu Nov 24 02:07:43 GMT 2022","5219","","Login","","","","Validar mensagem de error ao tentar criar conta confirmando senha diferente da senha inserida",""
"failed","Thu Nov 24 01:53:37 GMT 2022","Thu Nov 24 01:53:37 GMT 2022","301","","Login","","","","Validar Fazer login com dados valido",""
