"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login","Dados inválidos","2","0","3","0","0"
"","Carrinho","Dados válidos","0","0","3","0","0"
"","Localizacao","Dados inválidos","1","0","3","0","0"
"","Busca","Dados inválidos","0","0","1","0","0"
"","Busca","Dados válidos","1","0","1","0","0"
"","Login","Dados válidos","0","0","1","0","0"
"","Localizacao","Dados válidos","0","0","1","0","0"
